[ 2019-07-02T13:53:14+08:00 ] 222.209.32.230 /Backet/Users/getList/id/10055/p/16.html
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000014s ]
INFO: [ app_init ] --END-- [ RunTime:0.000291s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000412s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000459s ]
NOTIC: [8] Undefined index: lite /www/web/168/ThinkPHP/Library/Think/Db.class.php 第 37 行.
SQL: SHOW COLUMNS FROM `acc_money` [ RunTime:0.0005s ]
SQL: SHOW COLUMNS FROM `acc_nums` [ RunTime:0.0004s ]
SQL: SHOW COLUMNS FROM `account` [ RunTime:0.0004s ]
SQL: SHOW COLUMNS FROM `syspaysn` [ RunTime:0.0004s ]
SQL: SHOW COLUMNS FROM `orders` [ RunTime:0.0004s ]
SQL: SELECT COUNT(*) AS tp_count FROM `acc_money` WHERE `uid` = '10055' LIMIT 1   [ RunTime:0.0060s ]
SQL: SELECT * FROM `acc_money` WHERE `uid` = '10055' ORDER BY id desc LIMIT 300,20   [ RunTime:0.0097s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '215505494873965232' LIMIT 1   [ RunTime:0.0023s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '215505494873965232' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '215505494873965232' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 11118 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SHOW COLUMNS FROM `order_sr` [ RunTime:0.0004s ]
SQL: SHOW COLUMNS FROM `order_drs` [ RunTime:0.0004s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '215505494873965232' LIMIT 1   [ RunTime:0.0420s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '315505454656395455' LIMIT 1   [ RunTime:0.0023s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '315505454656395455' LIMIT 1   [ RunTime:0.0020s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '315505454656395455' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `acc_money` WHERE `models` = 'REBACK' AND `sn` = '315505454656395455'  [ RunTime:0.0126s ]
SQL: SELECT * FROM `account` WHERE `id` = 9205 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 4524 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 9917 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '315505454656395455' LIMIT 1   [ RunTime:0.0419s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '315505447186294941' LIMIT 1   [ RunTime:0.0023s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '315505447186294941' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '315505447186294941' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 11118 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '315505447186294941' LIMIT 1   [ RunTime:0.0418s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '315505390841205633' LIMIT 1   [ RunTime:0.0023s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '315505390841205633' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '315505390841205633' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `acc_money` WHERE `models` = 'REBACK' AND `sn` = '315505390841205633'  [ RunTime:0.0125s ]
SQL: SELECT * FROM `account` WHERE `id` = 9205 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 4524 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 9917 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '315505390841205633' LIMIT 1   [ RunTime:0.0418s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '215505388269526588' LIMIT 1   [ RunTime:0.0023s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '215505388269526588' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '215505388269526588' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 11118 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '215505388269526588' LIMIT 1   [ RunTime:0.0418s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '115504981996285992' LIMIT 1   [ RunTime:0.0023s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '115504981996285992' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '115504981996285992' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `acc_money` WHERE `models` = 'REBACK' AND `sn` = '115504981996285992'  [ RunTime:0.0125s ]
SQL: SELECT * FROM `account` WHERE `id` = 9205 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 4524 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 9917 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '115504981996285992' LIMIT 1   [ RunTime:0.0418s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '615505000749045578' LIMIT 1   [ RunTime:0.0023s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '615505000749045578' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '615505000749045578' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 10751 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `acc_nums` WHERE ( `uid` = '10055' OR `aboutid` = '10055' ) AND `id` < '6128' ORDER BY id desc LIMIT 1   [ RunTime:0.0002s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '615505000749045578' LIMIT 1   [ RunTime:0.0418s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '215505387828975999' LIMIT 1   [ RunTime:0.0023s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '215505387828975999' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '215505387828975999' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 11118 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '215505387828975999' LIMIT 1   [ RunTime:0.0420s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '615504846352048464' LIMIT 1   [ RunTime:0.0023s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '615504846352048464' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '615504846352048464' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 10751 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `acc_nums` WHERE ( `uid` = '10055' OR `aboutid` = '10055' ) AND `id` < '6110' ORDER BY id desc LIMIT 1   [ RunTime:0.0002s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '615504846352048464' LIMIT 1   [ RunTime:0.0419s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '215504864730098219' LIMIT 1   [ RunTime:0.0022s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '215504864730098219' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '215504864730098219' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `acc_money` WHERE `models` = 'REBACK' AND `sn` = '215504864730098219'  [ RunTime:0.0126s ]
SQL: SELECT * FROM `account` WHERE `id` = 9205 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 4524 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 9917 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '215504864730098219' LIMIT 1   [ RunTime:0.0417s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '715504853115505457' LIMIT 1   [ RunTime:0.0022s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '715504853115505457' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '715504853115505457' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 11118 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `order_sr` WHERE `sn` = '715504853115505457' LIMIT 1   [ RunTime:0.0417s ]
SQL: SELECT * FROM `orders` WHERE `sn` = '215504822802492573' LIMIT 1   [ RunTime:0.0022s ]
SQL: SELECT * FROM `syspaysn` WHERE `resn` = '215504822802492573' LIMIT 1   [ RunTime:0.0019s ]
SQL: SELECT * FROM `acc_nums` WHERE `sn` = '215504822802492573' LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `account` WHERE `id` = 10055 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `acc_money` WHERE `models` = 'REBACK' AND `sn` = '215504822802492573'  [ RunTime:0.0126s ]
SQL: SELECT * FROM `account` WHERE `id` = 9205 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 4524 LIMIT 1   [ RunTime:0.0001s ]
SQL: SELECT * FROM `account` WHERE `id` = 9917 LIMIT 1   [ RunTime:0.0001s ]
